| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000064542| 0000000064548| 0000000000392| Fri Jan  7 22:00:02 2022
| 0000000064537| 0000000064545| 0000000001109| Fri Jan  7 22:00:02 2022
| 0000000064534| 0000000064531| 0000000002531| Fri Jan  7 22:00:02 2022
| 0000000064539| 0000000064536| 0000000004011| Fri Jan  7 22:00:02 2022
| 0000000064538| 0000000064548| 0000000004109| Fri Jan  7 22:00:02 2022
| 0000000064538| 0000000064541| 0000000000650| Fri Jan  7 22:00:02 2022
| 0000000064547| 0000000064543| 0000000000390| Fri Jan  7 22:00:02 2022
| 0000000064527| -000000000001| 0000000000152| Fri Jan  7 22:00:02 2022

| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000064550| 0000000064549| 0000000001507| Fri Jan  7 22:00:02 2022
| 0000000064538| 0000000064533| 0000000002867| Fri Jan  7 22:00:02 2022
| 0000000064536| 0000000064532| 0000000000285| Fri Jan  7 22:00:02 2022
| 0000000064537| 0000000064549| 0000000000012| Fri Jan  7 22:00:02 2022
| 0000000064537| 0000000064550| 0000000001740| Fri Jan  7 22:00:02 2022
| 0000000064533| 0000000064531| 0000000002319| Fri Jan  7 22:00:02 2022
| 0000000064538| 0000000064532| 0000000000515| Fri Jan  7 22:00:02 2022
| 0000000064550| 0000000064544| 0000000002316| Fri Jan  7 22:00:02 2022
| 0000000064545| 0000000064542| 0000000000842| Fri Jan  7 22:00:02 2022
| 0000000064528| -000000000001| 0000000000122| Fri Jan  7 22:00:02 2022

| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000064536| 0000000064541| 0000000004354| Fri Jan  7 22:00:02 2022
| 0000000064545| 0000000064535| 0000000000372| Fri Jan  7 22:00:02 2022
| 0000000064535| 0000000064538| 0000000001410| Fri Jan  7 22:00:02 2022
| 0000000064541| 0000000064539| 0000000001963| Fri Jan  7 22:00:02 2022
| 0000000064531| 0000000064537| 0000000001699| Fri Jan  7 22:00:02 2022
| 0000000064531| 0000000064535| 0000000000247| Fri Jan  7 22:00:02 2022
| 0000000064535| 0000000064536| 0000000001082| Fri Jan  7 22:00:02 2022
| 0000000064548| 0000000064539| 0000000002744| Fri Jan  7 22:00:02 2022
| 0000000064546| 0000000064548| 0000000000914| Fri Jan  7 22:00:02 2022
| 0000000064524| -000000000001| 0000000000144| Fri Jan  7 22:00:02 2022

| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000064536| 0000000064549| 0000000000195| Fri Jan  7 22:00:02 2022
