| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000005419| 0000000005459| 0000000000249| Sun Jan  9 11:04:11 2022
| 0000000005403| 0000000005477| 0000000000350| Sun Jan  9 11:04:11 2022
| 0000000005499| 0000000005437| 0000000000148| Sun Jan  9 11:04:11 2022
| 0000000005447| 0000000005433| 0000000000367| Sun Jan  9 11:04:11 2022
| 0000000005403| 0000000005410| 0000000000067| Sun Jan  9 11:04:11 2022
| 0000000005472| 0000000005432| 0000000000124| Sun Jan  9 11:04:11 2022
| 0000000005415| 0000000005425| 0000000000181| Sun Jan  9 11:04:11 2022
| 0000000005398| -000000000001| 0000000000014| Sun Jan  9 11:04:11 2022

| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000005416| 0000000005404| 0000000000353| Sun Jan  9 11:04:11 2022
| 0000000005428| 0000000005492| 0000000000114| Sun Jan  9 11:04:11 2022
| 0000000005489| 0000000005446| 0000000000349| Sun Jan  9 11:04:11 2022
| 0000000005405| 0000000005417| 0000000000350| Sun Jan  9 11:04:11 2022
| 0000000005446| 0000000005473| 0000000000317| Sun Jan  9 11:04:11 2022
| 0000000005475| 0000000005430| 0000000000204| Sun Jan  9 11:04:11 2022
| 0000000005412| 0000000005475| 0000000000208| Sun Jan  9 11:04:11 2022
| 0000000005481| 0000000005450| 0000000000355| Sun Jan  9 11:04:11 2022
| 0000000005462| 0000000005418| 0000000000194| Sun Jan  9 11:04:11 2022
| 0000000005400| -000000000001| 0000000000021| Sun Jan  9 11:04:11 2022

| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000005425| 0000000005411| 0000000000030| Sun Jan  9 11:04:11 2022
| 0000000005442| 0000000005497| 0000000000688| Sun Jan  9 11:04:11 2022
| 0000000005440| 0000000005420| 0000000000457| Sun Jan  9 11:04:11 2022
| 0000000005445| 0000000005494| 0000000000473| Sun Jan  9 11:04:11 2022
| 0000000005492| 0000000005464| 0000000000674| Sun Jan  9 11:04:11 2022
| 0000000005408| 0000000005462| 0000000000721| Sun Jan  9 11:04:11 2022
| 0000000005458| 0000000005421| 0000000000424| Sun Jan  9 11:04:11 2022
| 0000000005440| 0000000005441| 0000000000377| Sun Jan  9 11:04:11 2022
| 0000000005477| 0000000005420| 0000000000436| Sun Jan  9 11:04:11 2022
| 0000000005397| -000000000001| 0000000000039| Sun Jan  9 11:04:11 2022

| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000005472| 0000000005499| 0000000000675| Sun Jan  9 11:04:11 2022
| 0000000005405| 0000000005502| 0000000000449| Sun Jan  9 11:04:11 2022
| 0000000005435| 0000000005413| 0000000000069| Sun Jan  9 11:04:11 2022
| 0000000005438| 0000000005426| 0000000000188| Sun Jan  9 11:04:11 2022
| 0000000005418| 0000000005456| 0000000000151| Sun Jan  9 11:04:11 2022
| 0000000005456| 0000000005488| 0000000000534| Sun Jan  9 11:04:11 2022
| 0000000005478| 0000000005405| 0000000000479| Sun Jan  9 11:04:11 2022
