| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000023197| 0000000023188| 0000000000445| Mon Jan 24 19:04:56 2022
| 0000000023180| 0000000023201| 0000000000376| Mon Jan 24 19:04:56 2022
| 0000000023172| 0000000023169| 0000000000251| Mon Jan 24 19:04:56 2022
| 0000000023212| 0000000023206| 0000000000012| Mon Jan 24 19:04:56 2022
| 0000000023160| -000000000001| 0000000000010| Mon Jan 24 19:04:56 2022

| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000023215| 0000000023217| 0000000000422| Mon Jan 24 19:04:56 2022
| 0000000023246| 0000000023204| 0000000000675| Mon Jan 24 19:04:56 2022
| 0000000023219| 0000000023194| 0000000000235| Mon Jan 24 19:04:56 2022
| 0000000023164| 0000000023228| 0000000000119| Mon Jan 24 19:04:56 2022
| 0000000023162| -000000000001| 0000000000013| Mon Jan 24 19:04:56 2022

| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000023174| 0000000023232| 0000000000354| Mon Jan 24 19:04:56 2022
| 0000000023167| 0000000023254| 0000000000076| Mon Jan 24 19:04:56 2022
| 0000000023246| 0000000023197| 0000000000200| Mon Jan 24 19:04:56 2022
| 0000000023256| 0000000023257| 0000000000495| Mon Jan 24 19:04:56 2022
| 0000000023156| -000000000001| 0000000000011| Mon Jan 24 19:04:56 2022

| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000023169| 0000000023222| 0000000000386| Mon Jan 24 19:04:56 2022
| 0000000023204| 0000000023193| 0000000000160| Mon Jan 24 19:04:56 2022
| 0000000023240| 0000000023170| 0000000000365| Mon Jan 24 19:04:56 2022
| 0000000023252| 0000000023253| 0000000000371| Mon Jan 24 19:04:56 2022
| 0000000023155| -000000000001| 0000000000010| Mon Jan 24 19:04:56 2022

| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000023250| 0000000023240| 0000000000437| Mon Jan 24 19:04:56 2022
| 0000000023185| 0000000023230| 0000000000149| Mon Jan 24 19:04:56 2022
| 0000000023217| 0000000023209| 0000000000215| Mon Jan 24 19:04:56 2022
| 0000000023192| 0000000023248| 0000000000419| Mon Jan 24 19:04:56 2022
| 0000000023157| -000000000001| 0000000000011| Mon Jan 24 19:04:56 2022

| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000023250| 0000000023238| 0000000000282| Mon Jan 24 19:04:56 2022
| 0000000023209| 0000000023256| 0000000000191| Mon Jan 24 19:04:56 2022
| 0000000023172| 0000000023260| 0000000000288| Mon Jan 24 19:04:56 2022
| 0000000023259| 0000000023229| 0000000000346| Mon Jan 24 19:04:56 2022
| 0000000023154| -000000000001| 0000000000008| Mon Jan 24 19:04:56 2022

| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000023178| 0000000023163| 0000000000209| Mon Jan 24 19:04:56 2022
| 0000000023239| 0000000023251| 0000000000675| Mon Jan 24 19:04:56 2022
| 0000000023174| 0000000023262| 0000000000084| Mon Jan 24 19:04:56 2022
| 0000000023182| 0000000023195| 0000000000275| Mon Jan 24 19:04:56 2022
| 0000000023161| -000000000001| 0000000000011| Mon Jan 24 19:04:56 2022

| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000023248| 0000000023245| 0000000000198| Mon Jan 24 19:04:56 2022
| 0000000023234| 0000000023182| 0000000000439| Mon Jan 24 19:04:56 2022
| 0000000023256| 0000000023226| 0000000000271| Mon Jan 24 19:04:56 2022
| 0000000023242| 0000000023176| 0000000000274| Mon Jan 24 19:04:56 2022
| 0000000023160| -000000000001| 0000000000010| Mon Jan 24 19:04:56 2022

| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000023190| 0000000023200| 0000000000327| Mon Jan 24 19:04:56 2022
| 0000000023207| 0000000023243| 0000000000470| Mon Jan 24 19:04:56 2022
| 0000000023217| 0000000023165| 0000000000351| Mon Jan 24 19:04:56 2022
| 0000000023167| 0000000023178| 0000000000262| Mon Jan 24 19:04:56 2022
| 0000000023153| -000000000001| 0000000000012| Mon Jan 24 19:04:56 2022

| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000023209| 0000000023198| 0000000000484| Mon Jan 24 19:04:56 2022
| 0000000023181| 0000000023174| 0000000000328| Mon Jan 24 19:04:56 2022
| 0000000023183| 0000000023227| 0000000000234| Mon Jan 24 19:04:56 2022
| 0000000023208| 0000000023185| 0000000000497| Mon Jan 24 19:04:56 2022
| 0000000023159| -000000000001| 0000000000014| Mon Jan 24 19:04:56 2022

| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000023178| 0000000023213| 0000000000392| Mon Jan 24 19:04:56 2022
| 0000000023247| 0000000023166| 0000000000152| Mon Jan 24 19:04:56 2022
| 0000000023255| 0000000023237| 0000000000025| Mon Jan 24 19:04:56 2022
| 0000000023178| 0000000023211| 0000000000411| Mon Jan 24 19:04:56 2022
| 0000000023155| -000000000001| 0000000000009| Mon Jan 24 19:04:56 2022

| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000023234| 0000000023168| 0000000000095| Mon Jan 24 19:04:56 2022
| 0000000023228| 0000000023225| 0000000000173| Mon Jan 24 19:04:56 2022
| 0000000023250| 0000000023224| 0000000000049| Mon Jan 24 19:04:56 2022
| 0000000023238| 0000000023235| 0000000000211| Mon Jan 24 19:04:56 2022
| 0000000023162| -000000000001| 0000000000005| Mon Jan 24 19:04:56 2022

| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000023224| 0000000023175| 0000000000334| Mon Jan 24 19:04:56 2022
| 0000000023199| 0000000023201| 0000000000392| Mon Jan 24 19:04:56 2022
| 0000000023221| 0000000023234| 0000000000488| Mon Jan 24 19:04:56 2022
| 0000000023175| 0000000023244| 0000000000419| Mon Jan 24 19:04:56 2022
| 0000000023161| -000000000001| 0000000000014| Mon Jan 24 19:04:56 2022

| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000023249| 0000000023232| 0000000000218| Mon Jan 24 19:04:56 2022
| 0000000023232| 0000000023210| 0000000000374| Mon Jan 24 19:04:56 2022
| 0000000023176| 0000000023163| 0000000000133| Mon Jan 24 19:04:56 2022
| 0000000023245| 0000000023242| 0000000000793| Mon Jan 24 19:04:56 2022
| 0000000023154| -000000000001| 0000000000014| Mon Jan 24 19:04:56 2022

| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000023178| 0000000023192| 0000000000389| Mon Jan 24 19:04:56 2022
| 0000000023207| 0000000023189| 0000000000010| Mon Jan 24 19:04:56 2022
| 0000000023199| 0000000023216| 0000000000814| Mon Jan 24 19:04:56 2022
| 0000000023199| 0000000023183| 0000000000425| Mon Jan 24 19:04:56 2022
| 0000000023153| -000000000001| 0000000000016| Mon Jan 24 19:04:56 2022

| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000023233| 0000000023219| 0000000000323| Mon Jan 24 19:04:56 2022
| 0000000023253| 0000000023203| 0000000000492| Mon Jan 24 19:04:56 2022
| 0000000023178| 0000000023258| 0000000000260| Mon Jan 24 19:04:56 2022
| 0000000023184| 0000000023191| 0000000000355| Mon Jan 24 19:04:56 2022
| 0000000023157| -000000000001| 0000000000012| Mon Jan 24 19:04:56 2022

| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000023220| 0000000023205| 0000000000053| Mon Jan 24 19:04:56 2022
| 0000000023198| 0000000023217| 0000000000708| Mon Jan 24 19:04:56 2022
| 0000000023196| 0000000023236| 0000000000235| Mon Jan 24 19:04:56 2022
| 0000000023169| 0000000023259| 0000000000195| Mon Jan 24 19:04:56 2022
| 0000000023160| -000000000001| 0000000000011| Mon Jan 24 19:04:56 2022

| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000023215| 0000000023241| 0000000000271| Mon Jan 24 19:04:56 2022
| 0000000023258| 0000000023186| 0000000000534| Mon Jan 24 19:04:56 2022
| 0000000023163| 0000000023181| 0000000000236| Mon Jan 24 19:04:56 2022
| 0000000023175| 0000000023230| 0000000000070| Mon Jan 24 19:04:56 2022
| 0000000023162| -000000000001| 0000000000010| Mon Jan 24 19:04:56 2022

| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000023201| 0000000023173| 0000000000199| Mon Jan 24 19:04:56 2022
| 0000000023216| 0000000023184| 0000000000507| Mon Jan 24 19:04:56 2022
| 0000000023247| 0000000023173| 0000000000420| Mon Jan 24 19:04:56 2022
| 0000000023165| 0000000023213| 0000000000132| Mon Jan 24 19:04:56 2022
| 0000000023154| -000000000001| 0000000000012| Mon Jan 24 19:04:56 2022

| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000023215| 0000000023243| 0000000000259| Mon Jan 24 19:04:56 2022
| 0000000023174| 0000000023262| 0000000000130| Mon Jan 24 19:04:56 2022
| 0000000023260| 0000000023174| 0000000000383| Mon Jan 24 19:04:56 2022
| 0000000023258| 0000000023248| 0000000000376| Mon Jan 24 19:04:56 2022
| 0000000023159| -000000000001| 0000000000009| Mon Jan 24 19:04:56 2022

| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000023260| 0000000023261| 0000000000366| Mon Jan 24 19:04:56 2022
| 0000000023203| 0000000023172| 0000000000752| Mon Jan 24 19:04:56 2022
| 0000000023254| 0000000023197| 0000000000574| Mon Jan 24 19:04:56 2022
| 0000000023245| 0000000023202| 0000000000394| Mon Jan 24 19:04:56 2022
| 0000000023153| -000000000001| 0000000000018| Mon Jan 24 19:04:56 2022

| RECEIVER(PID)| SENDER(PID)  | QUANTITA     | TIMESTAMP
| 0000000023216| 0000000023234| 0000000000257| Mon Jan 24 19:04:56 2022
| 0000000023166| 0000000023214| 0000000000270| Mon Jan 24 19:04:56 2022
| 0000000023187| 0000000023209| 0000000000460| Mon Jan 24 19:04:56 2022
| 0000000023185| 0000000023199| 0000000000375| Mon Jan 24 19:04:56 2022
